id;name_old_verbatim;name_old_clean;name_new;geo_long;geo_lat
163;Duphot;Rue Duphot;rue Duphot;2.32551;48.8685
164;De Caumartin;Rue De Caumartin;rue de Caumartin;2.32824444;48.87251944
165;De L' Oratoire Du Roule;Rue De L' Oratoire-du-roule;rue Washington;2.30298;48.8731
166;De Mogador;Rue De Mogador;rue de Mogador;2.33136;48.8752
167;De Chabrol;Rue De Chabrol;rue de Chabrol;2.3535;48.8769
168;De Chaillot;Rue De Chaillot;rue de Chaillot;2.29725;48.8671
169;De Charenton;Rue De Charenton;Rue de Charenton;2.37139;48.8522
170;De Charonne;Rue De Charonne;rue de Charonne;2.38431;48.8545
171;De Chartres Du Roule;Rue De Chartres-du-roule;rue de Courcelles;2.30103;48.8813
172;De Chevreuse;Rue De Chevreuse;rue de Chevreuse;2.33153;48.8418
173;De Choiseul;Rue De Choiseul;rue de Choiseul;2.33597;48.8706
174;Saint Florentin;Rue Saint -florentin;rue Saint-Florentin;2.32447;48.8678
175;De La Madeleine;Boulevard De La Madeleine;boulevard de la Madeleine;2.326494;48.869669
176;De Cléry;Rue De Cléry;rue de Cléry;2.34778;48.8685
177;De Miroménil;Rue De Miroménil;rue de Miromesnil;2.3157;48.876
178;Du Rocher;Rue Du Rocher;rue du Rocher;2.32012;48.878
179;De Cotte;Rue De Cotte;rue de Cotte;2.37764;48.8494
180;De Courcelles;Rue De Courcelles;rue de Courcelles;2.30103;48.8813
181;De Crussol;Rue De Crussol;rue de Crussol;2.36816;48.8642
182;De Damiette;Rue De Damiette;rue de Damiette;2.34844;48.8678
183;Du Colysée;Rue Du Colysée;rue du Colysée;2.30968;48.8713
184;Du Faubourg Saint Antoine;Rue Du Faubourg Saint-antoine;rue du Faubourg-Saint-Antoine;2.38155;48.8504
185;De Flandre;Rue De Flandre;avenue de Flandre;2.375139;48.889178
186;De Fleurus;Rue De Fleurus;rue de Fleurus;2.32925;48.847
187;De Grammont;Rue De Grammont;rue de Gramont;2.3368;48.8698
188;De La Madeleine;Place De La Madeleine;place de la Madeleine;2.325;48.8708
189;De Grenelle;Rue De Grenelle;rue de Lourmel;2.28751;48.8451
190;De Berlin;Rue De Berlin;rue de Liège;2.3263;48.8795
191;Saint Nicolas D' Antin;Rue Saint-nicolas-d' Antin;rue de Provence;2.3362694444444;48.874172222222
